Runs,Min,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,6,4,0,0,0.00,3,caught,2,v Ireland,Dublin,12 May 2024
75,66,42,6,5,178.57,3,caught,2,v Ireland,Dublin,14 May 2024
32,35,26,4,0,123.07,3,lbw,2,v England,Birmingham,25 May 2024
36,29,22,5,1,163.63,2,caught,1,v England,The Oval,30 May 2024
44,76,43,3,2,102.32,2,lbw,1,v U.S.A.,Dallas,6 Jun 2024
13,23,10,2,0,130.00,2,caught,2,v India,New York,9 Jun 2024
33,43,33,1,1,100.00,3,caught,2,v Canada,New York,11 Jun 2024
32*,79,34,2,0,94.11,3,not out,2,v Ireland,Lauderhill,16 Jun 2024
3,9,2,0,0,150.00,3,caught,2,v Australia,Brisbane,14 Nov 2024
3,6,3,0,0,100.00,2,caught,2,v Australia,Sydney,16 Nov 2024
41,57,28,4,0,146.42,2,bowled,1,v Australia,Hobart,18 Nov 2024
0,12,4,0,0,0.00,2,caught,2,v South Africa,Durban,10 Dec 2024
31,32,20,3,1,155.00,3,caught,1,v South Africa,Centurion,13 Dec 2024
